name,date,rate,votes,genre,duration,type,certificate,nudity,violence
"#Saraitda",2020,6.3,32672,"Action, Drama, Horror",98,film,TV-MA,none,moderate
"'Allo 'Allo!",2021,8.3,24463,"Comedy, History, War",45,series,unknown,no rate,no rate
"(500) Days of Summer",2009,7.7,489549,"Comedy, Drama, Romance",95,film,PG-13,mild,mild
"10",1979,6.1,17216,"Comedy, Romance",122,film,R,severe,none
"10 Cloverfield Lane",2016,7.2,306304,"Action, Drama, Horror",103,film,PG-13,none,moderate
"10 Things I Hate About You",1999,7.3,315247,"Comedy, Drama, Romance",97,film,PG-13,mild,mild
"10 Years",2011,6.1,25016,"Comedy, Drama, Romance",110,film,PG-13,mild,none
"101 Dalmatians",1996,5.7,107992,"Adventure, Comedy, Crime",103,film,G,none,mild
"12 Angry Men",1957,9,732301,"Crime, Drama",96,film,unknown,none,none
"12 Mighty Orphans",2021,6.8,2576,"History, Sport",118,film,PG-13,mild,mild
"12 Monkeys",2000,7.7,42680,"Adventure, Drama, Mystery",42,series,TV-14,mild,moderate
"12 Strong",2018,6.6,74061,"Action, Drama, History",130,film,R,none,severe
"12 Years a Slave",2013,8.1,666564,"Biography, Drama, History",134,film,R,severe,severe
"127 Hours",2010,7.5,361435,"Biography, Drama",94,film,R,mild,severe
"13 Ghosts",1960,6.1,5929,"Horror, Mystery",85,film,unknown,none,mild
"13 Going on 30",2004,6.2,177951,"Comedy, Fantasy, Romance",98,film,PG-13,mild,none
"13 Hours",2016,7.3,129966,"Action, Drama, History",144,film,R,none,severe
"13 Minutes (II)",2021,0,0,"Action, Drama, Thriller",108,film,PG-13,no rate,no rate
"13 Reasons Why",2005,7.5,271324,"Drama, Mystery, Thriller",60,series,TV-MA,severe,severe
"1408",2007,6.8,262802,"Fantasy, Horror, Mystery",104,film,PG-13,mild,moderate
"17 Again",2009,6.4,189984,"Comedy, Drama, Fantasy",102,film,PG-13,moderate,mild
"1917",2019,8.3,497055,"Action, Drama, War",119,film,R,none,severe
"1922",2017,6.3,58261,"Crime, Drama, Horror",102,film,TV-MA,none,severe
"2 Broke Girls",2004,6.6,93543,"Comedy",22,series,TV-14,moderate,none
"2 Days in the Valley",1996,6.5,19269,"Comedy, Crime, Thriller",104,film,R,moderate,moderate
"2 Fast 2 Furious",2003,5.9,263585,"Action, Crime, Thriller",107,film,PG-13,mild,moderate
"2 Guns",2013,6.7,204313,"Action, Comedy, Crime",109,film,R,moderate,severe
"2001: A Space Odyssey",1968,8.3,631754,"Adventure, Sci-Fi",149,film,G,none,mild
"2010: The Year We Make Contact",1984,6.8,51553,"Adventure, Mystery, Sci-Fi",116,film,PG,none,none
"2012",2009,5.8,364536,"Action, Adventure, Sci-Fi",158,film,PG-13,mild,moderate
"2067",2020,4.9,7658,"Sci-Fi",114,film,unknown,none,moderate
"21",2008,6.8,238789,"Crime, Drama, History",123,film,PG-13,mild,moderate
"21 Bridges",2019,6.6,58358,"Action, Crime, Thriller",99,film,R,none,severe
"21 Grams",2003,7.6,231052,"Crime, Drama, Thriller",124,film,R,moderate,moderate
"21 Jump Street",2012,7.2,528589,"Action, Comedy, Crime",109,film,R,moderate,moderate
"22 Jump Street",2014,7,358915,"Action, Comedy, Crime",112,film,R,moderate,moderate
"24",2013,8.3,178609,"Action, Crime, Drama",44,series,TV-14,mild,severe
"27 Dresses",2008,6.1,158973,"Comedy, Romance",111,film,PG-13,mild,none
"28 Days Later...",2002,7.6,393805,"Drama, Horror, Sci-Fi",113,film,R,moderate,severe
"28 Weeks Later",2007,6.9,267072,"Horror, Sci-Fi",100,film,R,mild,severe
"3 Idiots",2009,8.4,369115,"Comedy, Drama",170,film,PG-13,mild,mild
"3 from Hell",2019,5.5,13273,"Action, Horror",115,film,R,severe,severe
"3%",2000,7.4,23644,"Action, Drama, Sci-Fi",49,series,TV-MA,mild,moderate
"30 Days of Night",2007,6.6,170844,"Action, Horror, Thriller",113,film,R,none,severe
"30 Rock",1984,8.2,116862,"Comedy",22,series,TV-14,mild,mild
"300",2006,7.6,758693,"Action, Drama",117,film,R,moderate,severe
"300: Rise of an Empire",2014,6.2,289295,"Action, Drama",102,film,R,severe,severe
"31",2016,5.1,19664,"Horror, Thriller",102,film,unknown,no rate,no rate
"365 dni",2020,3.3,67739,"Drama, Romance",114,film,TV-MA,severe,mild
"37°2 le matin",1986,7.4,20377,"Drama, Romance",185,film,unknown,severe,moderate
"3:10 to Yuma",2007,7.7,298596,"Action, Crime, Drama",122,film,R,mild,severe
"3rd Rock from the Sun",2020,7.7,49671,"Comedy, Family, Sci-Fi",60,series,TV-PG,mild,none
"40 Days and 40 Nights",2002,5.6,72475,"Comedy, Romance",96,film,R,severe,none
"42",2013,7.5,90626,"Biography, Drama, Sport",128,film,PG-13,none,none
"4400",2016,0,0,"Drama, Sci-Fi",0,series,unknown,no rate,no rate
"47 Meters Down",2017,5.7,52097,"Adventure, Drama, Horror",89,film,PG-13,none,moderate
"47 Ronin",2013,6.3,154511,"Action, Drama, Fantasy",128,film,PG-13,none,moderate
"4: Rise of the Silver Surfer",2007,5.6,257269,"Action, Adventure, Fantasy",92,film,PG,mild,mild
"50 First Dates",2004,6.8,339671,"Comedy, Drama, Romance",99,film,PG-13,mild,mild
"6 Underground",2019,6.1,155099,"Action, Thriller",128,film,R,moderate,severe
"68 Whiskey",2020,5.7,1895,"Comedy, Drama, War",0,series,TV-MA,moderate,moderate
"7th Heaven",2019,5.3,24814,"Comedy, Drama, Family",60,series,TV-G,mild,mild
"8 Mile",2002,7.1,266000,"Drama, Music",110,film,R,moderate,moderate
"8 Simple Rules... for Dating My Teenage Daughter",2005,7,24726,"Comedy, Drama",30,series,TV-PG,mild,mild
"86",1987,8,1467,"Animation, Action, Drama",24,series,TV-14,mild,moderate
"8MM",1999,6.5,128942,"Crime, Drama, Mystery",123,film,R,severe,severe
"9",2009,7.1,136543,"Animation, Action, Adventure",79,film,PG-13,none,moderate
"9 Songs",2004,4.8,22129,"Drama, Music, Romance",71,film,unknown,severe,none
"9-1-1",2022,7.8,26981,"Action, Drama, Thriller",43,series,TV-14,mild,moderate
"9-1-1: Lone Star",2021,6.9,10209,"Action, Drama, Thriller",43,series,TV-14,mild,moderate
"90210",2001,6.1,43462,"Comedy, Drama, Romance",60,series,TV-14,moderate,moderate
"A Beautiful Day in the Neighborhood",2019,7.3,70101,"Biography, Drama",109,film,PG,none,none
"A Beautiful Mind",2001,8.2,883637,"Biography, Drama",135,film,PG-13,mild,mild
"A Boy Called Christmas",2021,0,0,"Adventure, Drama, Family",106,film,PG,no rate,no rate
"A Bridge Too Far",1977,7.4,54645,"Drama, History, War",175,film,PG,none,moderate
"A Bronx Tale",1993,7.8,134478,"Crime, Drama",121,film,R,none,moderate
"A Bug's Life",1998,7.2,278276,"Animation, Adventure, Comedy",95,film,G,none,mild
"A Call to Spy",2019,6.6,5173,"Biography, Crime, Drama",123,film,PG-13,none,moderate
"A Cinderella Story",2004,5.9,84248,"Comedy, Family, Romance",95,film,PG,none,none
"A Classic Horror Story",2021,5.7,13501,"Drama, Horror, Mystery",95,film,TV-MA,mild,severe
"A Clockwork Orange",1971,8.3,787963,"Crime, Drama, Sci-Fi",136,film,unknown,severe,severe
"A Cure for Wellness",2016,6.4,92138,"Drama, Fantasy, Horror",146,film,R,severe,severe
"A Different World",1999,6.9,6358,"Comedy",60,series,TV-PG,no rate,no rate
"A Discovery of Witches",2004,8,38749,"Drama, Fantasy, Romance",60,series,TV-MA,mild,moderate
"A Few Good Men",1992,7.7,247988,"Drama, Thriller",138,film,R,none,mild
"A Fish Called Wanda",1988,7.5,137094,"Comedy, Crime",108,film,R,moderate,mild
"A Ghost Story",2017,6.9,66758,"Drama, Fantasy, Romance",92,film,R,mild,mild
"A Good Day to Die Hard",2013,5.3,202617,"Action, Thriller",98,film,R,none,moderate
"A Good Old Fashioned Orgy",2011,6.1,22068,"Comedy, Romance",95,film,R,moderate,none
"A Good Year",2006,7,92006,"Comedy, Drama, Romance",117,film,PG-13,mild,none
"A Hidden Life",2019,7.4,21688,"Biography, Drama, Romance",174,film,PG-13,none,moderate
"A History of Violence",2005,7.4,230538,"Action, Drama, Thriller",96,film,R,severe,severe
"A Hologram for the King",2016,6.1,42874,"Comedy, Drama, Romance",98,film,R,moderate,none
"A House on the Bayou",2021,0,0,"Horror, Thriller",0,film,unknown,no rate,no rate
"A Knight's Tale",2001,6.9,178789,"Action, Adventure, Romance",132,film,PG-13,mild,mild
"A League of Their Own",1992,7.3,99495,"Comedy, Drama, Sport",128,film,PG,mild,mild
"A Menina que Matou os Pais",2021,6.1,2307,"Crime, Drama, Thriller",80,film,unknown,no rate,no rate
"A Million Little Pieces",2018,6.2,2459,"Drama",113,film,R,severe,mild
"A Million Little Things",2021,7.9,10844,"Comedy, Drama, Romance",43,series,TV-14,mild,none
"A Million Ways to Die in the West",2014,6.1,183506,"Comedy, Western",116,film,R,moderate,moderate
"A Monster Calls",2016,7.5,84879,"Adventure, Drama, Family",108,film,PG-13,none,mild
"A Most Violent Year",2014,7,69475,"Action, Crime, Drama",125,film,R,none,moderate
"A Most Wanted Man",2014,6.8,74739,"Crime, Drama, Thriller",122,film,R,none,mild
"A Mouthful of Air",2021,0,0,"Drama",0,film,R,no rate,no rate
"A Nightmare on Elm Street",1984,7.5,218811,"Horror",91,film,R,mild,severe
"A Nightmare on Elm Street 3: Dream Warriors",1987,6.6,75796,"Fantasy, Horror",96,film,R,moderate,severe
"A Nightmare on Elm Street 4: The Dream Master",1988,5.7,52975,"Horror",93,film,R,moderate,severe
"A Nightmare on Elm Street Part 2: Freddy's Revenge",1985,5.5,65363,"Horror",87,film,R,mild,severe
"A Nightmare on Elm Street: The Dream Child",1989,5.1,43348,"Fantasy, Horror",89,film,R,mild,severe
"A Perfect Getaway",2009,6.5,70472,"Drama, Mystery, Thriller",98,film,R,moderate,severe
"A Place to Call Home",2010,8.3,4851,"Drama",60,series,unknown,mild,no rate
"A Quiet Place",2018,7.5,483032,"Drama, Horror, Sci-Fi",90,film,PG-13,none,moderate
"A Quiet Place Part II",2020,7.3,165973,"Drama, Horror, Sci-Fi",97,film,PG-13,none,moderate
"A Rainy Day in New York",2019,6.5,37658,"Comedy, Romance",92,film,PG-13,mild,none
"A River Runs Through It",1992,7.2,56009,"Drama",123,film,PG,mild,mild
"A Room with a View",1985,7.3,41885,"Drama, Romance",117,film,unknown,moderate,mild
"A Series of Unfortunate Events",1996,7.8,56859,"Adventure, Comedy, Drama",50,series,TV-PG,none,mild
"A Simple Favor",2018,6.8,139621,"Comedy, Crime, Mystery",117,film,R,moderate,mild
"A Star Is Born",2018,7.6,357141,"Drama, Music, Romance",136,film,R,moderate,mild
"A Tale Dark & Grimm",1990,7.4,408,"Animation, Action, Adventure",26,series,TV-Y7,none,severe
"A Time to Kill",1996,7.5,141034,"Crime, Drama, Thriller",149,film,R,mild,moderate
"A Touch of Frost",2021,7.8,7042,"Crime, Drama, Mystery",105,series,TV-MA,severe,moderate
"A View to a Kill",1985,6.3,93278,"Action, Adventure, Thriller",131,film,PG,mild,moderate
"A Walk Among the Tombstones",2014,6.5,116851,"Action, Crime, Drama",114,film,R,moderate,severe
"A Walk to Remember",2002,7.3,205083,"Drama, Romance",101,film,PG,mild,mild
"A Wife's Nightmare",2014,5.9,1195,"Drama, Mystery, Thriller",85,film,TV-PG,mild,mild
"A.I. Artificial Intelligence",2001,7.2,298761,"Drama, Sci-Fi",146,film,PG-13,mild,mild
"A.P. Bio",1997,7.4,12589,"Comedy",21,series,TV-14,mild,mild
"AINBO: Spirit of the Amazon",2021,4.7,933,"Animation, Adventure, Comedy",84,film,unknown,no rate,no rate
"ALF",2017,7.4,33191,"Comedy, Family, Sci-Fi",30,series,TV-G,none,none
"AVP: Alien vs. Predator",2004,5.6,190952,"Action, Adventure, Horror",101,film,PG-13,none,moderate
"AVPR: Aliens vs Predator - Requiem",2007,4.6,120131,"Action, Horror, Sci-Fi",94,film,R,mild,severe
"Abominable",2019,7,34344,"Animation, Adventure, Comedy",97,film,PG,none,mild
"About Time",2013,7.8,323864,"Comedy, Drama, Fantasy",123,film,R,mild,mild
"About a Boy",2002,7.1,179143,"Comedy, Drama, Romance",101,film,PG-13,mild,mild
"Above Suspicion",2019,5.6,4689,"Action, Biography, Crime",104,film,R,mild,severe
"Abraham Lincoln: Vampire Hunter",2012,5.9,152615,"Action, Fantasy, Horror",105,film,R,mild,severe
"Absentia",2004,7.3,14038,"Crime, Drama, Mystery",60,series,TV-MA,moderate,moderate
"Acapulco",2021,6.3,488,"Comedy",0,series,TV-14,mild,no rate
"Accepted",2006,6.4,128887,"Comedy",93,film,PG-13,mild,mild
"According to Jim",2011,6.4,35174,"Comedy, Romance",30,series,TV-PG,mild,mild
"Ace Ventura: Pet Detective",1994,6.9,287991,"Comedy",86,film,PG-13,moderate,mild
"Act Naturally",2011,4.8,776,"Comedy, Drama",90,film,unknown,moderate,none
"Ad Astra",2019,6.5,215183,"Adventure, Drama, Mystery",123,film,PG-13,none,moderate
"Ada Twist, Scientist",1981,7.4,55,"Animation, Adventure, Comedy",12,series,TV-PG,no rate,no rate
"Adam-12",2021,7.6,3534,"Crime, Drama",30,series,TV-PG,none,mild
"Adam: The Mirror",2017,6.9,1187,"Animation, Short, Sci-Fi",7,film,unknown,no rate,no rate
"Adaptation.",2002,7.7,186497,"Comedy, Drama",115,film,R,moderate,moderate
"Addams Family Reunion",1998,4,4318,"Comedy, Family, Fantasy",91,film,PG,no rate,no rate
"Addams Family Values",1993,6.8,86264,"Comedy, Fantasy",94,film,PG-13,mild,moderate
"Adrift",2018,6.6,52099,"Action, Adventure, Biography",96,film,PG-13,mild,mild
"Adult Material",2020,6.8,1448,"Comedy, Drama, Romance",198,series,TV-MA,severe,moderate
"Adventure Time",1996,8.6,84221,"Animation, Action, Adventure",11,series,TV-PG,mild,moderate
"Adventureland",2009,6.8,156494,"Comedy, Drama, Romance",107,film,R,mild,mild
"Adventures in Babysitting",1987,6.9,41388,"Adventure, Comedy, Crime",102,film,PG-13,mild,mild
"Adventures of a Mathematician",2020,5.5,167,"Biography, Drama",102,film,unknown,no rate,no rate
"After",2019,5.3,46557,"Drama, Romance",105,film,PG-13,moderate,mild
"After Earth",2013,4.8,196546,"Action, Adventure, Sci-Fi",100,film,PG-13,none,moderate
"After Hours",1985,7.7,64857,"Comedy, Crime, Drama",97,film,R,moderate,mild
"After Life",1984,8.4,94866,"Comedy, Drama",30,series,TV-MA,none,mild
"After We Collided",2020,5.2,25369,"Drama, Romance",105,film,R,moderate,mild
"After We Fell",2021,5,2719,"Drama",98,film,R,moderate,mild
"After.Life",2009,5.9,37850,"Drama, Mystery, Thriller",104,film,R,moderate,moderate
"Afterlife of the Party",2021,5.8,5989,"Comedy, Drama, Fantasy",109,film,TV-PG,none,none
"Aftermath",2021,5.3,12053,"Drama, Horror, Mystery",114,film,TV-MA,mild,moderate
"Against All Odds",1984,5.9,11828,"Action, Adventure, Crime",128,film,R,moderate,moderate
"Agatha Christie's Marple",2003,7.8,7249,"Crime, Drama, Mystery",93,series,TV-14,mild,mild
"Agatha Raisin",2001,7.3,3744,"Comedy, Drama, Mystery",60,series,unknown,moderate,moderate
"Agent Carter",2020,7.9,77743,"Action, Adventure, Sci-Fi",42,series,TV-PG,mild,moderate
"Agents of S.H.I.E.L.D.",2021,7.5,207705,"Action, Adventure, Drama",45,series,TV-PG,mild,moderate
"Ah-ga-ssi",2016,8.1,128983,"Drama, Romance, Thriller",145,film,unknown,severe,moderate
"Ai no korîda",1976,6.6,19770,"Drama, Romance",109,film,unknown,severe,severe
"Aileen Wuornos: American Boogeywoman",2021,4.1,133,"Drama, Horror, Thriller",85,film,R,no rate,no rate
"Air Force One",1997,6.5,188197,"Action, Drama, Thriller",124,film,R,none,moderate
"Airplane!",1980,7.7,225206,"Comedy",88,film,PG,moderate,mild
"Ajeossi",2010,7.8,66462,"Action, Crime, Drama",119,film,R,mild,severe
"Akinjeon",2019,6.9,10643,"Action, Crime, Drama",109,film,unknown,none,severe
"Akira",1988,8,174733,"Animation, Action, Drama",124,film,R,moderate,severe
"Aladdin",2019,6.9,245698,"Adventure, Comedy, Family",128,film,PG,none,mild
"Alex Rider",1985,7.6,10190,"Action, Adventure, Drama",45,series,TV-14,mild,mild
"Alexander",2004,5.6,166305,"Action, Biography, Drama",175,film,R,moderate,severe
"Alfred Hitchcock Presents",1972,8.5,16088,"Comedy, Crime, Drama",25,series,TV-14,none,none
"Algoissjiman",2021,7.3,2324,"Drama, Romance",70,series,unknown,no rate,no rate
"Alias",2022,7.6,47858,"Action, Drama, Mystery",42,series,TV-14,mild,moderate
"Alice Through the Looking Glass",2016,6.2,100442,"Adventure, Family, Fantasy",113,film,PG,none,mild
"Alice in Borderland",2021,7.7,33151,"Action, Fantasy, Mystery",50,series,TV-MA,moderate,severe
"Alice in Wonderland",2010,6.4,396924,"Adventure, Family, Fantasy",108,film,PG,none,moderate
"Alien",1979,8.4,826097,"Horror, Sci-Fi",117,film,R,mild,moderate
"Alien: Covenant",2017,6.4,266421,"Horror, Sci-Fi, Thriller",122,film,R,mild,severe
"Alien: Resurrection",1997,6.2,238029,"Action, Horror, Sci-Fi",109,film,R,mild,severe
"Aliens",1986,8.3,680473,"Action, Adventure, Sci-Fi",137,film,R,none,moderate
"Alien³",1992,6.5,288133,"Action, Horror, Sci-Fi",114,film,R,mild,severe
"Alita: Battle Angel",2019,7.3,247942,"Action, Adventure, Sci-Fi",122,film,PG-13,none,moderate
"All About Eve",1950,8.2,126291,"Drama",138,film,unknown,none,none
"All American",2000,7.6,8663,"Drama, Sport",45,series,TV-14,mild,moderate
"All Creatures Great & Small",1988,8.4,3096,"Comedy, Drama",50,series,TV-PG,none,none
"All Creatures Great and Small",1971,8.4,5786,"Comedy, Drama",0,series,TV-PG,no rate,no rate
"All Good Things",2010,6.3,54689,"Crime, Drama, Mystery",101,film,R,moderate,moderate
"All My Children",1942,6.6,2788,"Drama, Romance, Mystery",60,series,TV-PG,severe,severe
"All Rise",1996,6.7,3906,"Drama",44,series,TV-PG,severe,severe
"All in the Family",2019,8.3,15249,"Comedy, Drama",30,series,TV-PG,mild,none
"All or Nothing: Toronto Maple Leafs",2021,7.7,213,"Documentary",0,series,unknown,no rate,no rate
"All the Bright Places",2020,6.5,25843,"Drama, Romance",107,film,TV-MA,mild,mild
"All the Money in the World",2017,6.8,80525,"Biography, Crime, Drama",132,film,R,mild,moderate
"All the President's Men",1976,8,109805,"Biography, Drama, History",138,film,PG,none,none
"All the Queen's Men",1980,5.3,377,"Drama",0,series,unknown,no rate,no rate
"All-Star Weekend",2015,0,0,"Comedy",0,film,unknown,no rate,no rate
"Allegiant",2016,5.7,115284,"Action, Adventure, Mystery",120,film,PG-13,mild,mild
"Allied",2016,7.1,149346,"Action, Drama, Romance",124,film,R,moderate,moderate
"Ally McBeal",1993,6.8,32007,"Comedy, Drama, Fantasy",45,series,TV-PG,moderate,mild
"Alma's Not Normal",1992,8,632,"Comedy",28,series,unknown,no rate,no rate
"Almost Famous",2000,7.9,265586,"Adventure, Comedy, Drama",122,film,R,moderate,mild
"Alone",2020,6.2,15497,"Drama, Horror, Mystery",98,film,R,none,moderate
"Alone in the Dark",1982,6.1,5378,"Horror, Thriller",92,film,R,moderate,moderate
"Along Came Polly",2004,6,131828,"Comedy, Romance",90,film,PG-13,mild,none
"Along Came a Spider",2001,6.4,81482,"Drama, Thriller",104,film,R,mild,severe
"Alpha",2018,6.7,59238,"Action, Adventure, Drama",96,film,PG-13,none,mild
"Alter Ego",2019,3.3,163,"Reality-TV",0,series,TV-PG,no rate,no rate
"Altered Carbon",2014,8,152255,"Action, Drama, Sci-Fi",60,series,TV-MA,severe,severe
"Alvin and the Chipmunks",2007,5.2,80971,"Animation, Adventure, Comedy",92,film,PG,mild,mild
"Alvin and the Chipmunks: The Road Chip",2015,5,18357,"Animation, Adventure, Comedy",92,film,PG,mild,mild
"Always Be My Maybe",2019,6.8,51053,"Comedy, Romance",101,film,PG-13,mild,mild
"Amadeus",1984,8.3,383251,"Biography, Drama, Music",160,film,PG,moderate,mild
"Ambulance",2022,0,0,"Action, Crime, Drama",0,film,unknown,no rate,no rate
"America: The Motion Picture",2021,5.6,5365,"Animation, Action, Adventure",98,film,TV-MA,moderate,severe
"American Assassin",2017,6.2,77056,"Action, Thriller",111,film,R,mild,severe
"American Beauty",1999,8.3,1106814,"Drama",122,film,R,severe,moderate
"American Crime Story",2021,8.4,87503,"Biography, Crime, Drama",42,series,TV-MA,moderate,severe
"American Dad!",2022,7.3,121136,"Animation, Comedy",22,series,TV-14,moderate,severe
"American Gangster",2007,7.8,407369,"Biography, Crime, Drama",157,film,R,severe,severe
"American Gangster Presents: Big 50 - The Delrhonda Hood Story",2021,4,149,"Drama",95,film,unknown,no rate,no rate
"American Gods",2003,7.7,81447,"Drama, Fantasy, Mystery",60,series,TV-MA,severe,severe
"American Graffiti",1973,7.4,85695,"Comedy, Drama",110,film,PG,mild,mild
"American History X",1998,8.5,1069951,"Drama",119,film,R,severe,severe
"American Honey",2016,7,40847,"Adventure, Drama, Romance",163,film,R,moderate,mild
"American Horror Stories",2021,6.1,12381,"Drama, Horror, Thriller",45,series,TV-MA,moderate,severe
"American Horror Story",2021,8,296306,"Drama, Horror, Thriller",60,series,TV-MA,severe,severe
"American Housewife",2019,7.4,8629,"Comedy",30,series,TV-PG,none,none
"American Hustle",2013,7.2,462992,"Crime, Drama",138,film,R,moderate,mild
"American Insurrection",2021,2,510,"Drama",115,film,R,no rate,no rate
"American Made",2017,7.2,168917,"Action, Comedy, Crime",115,film,R,moderate,mild
"American Mary",2012,6.3,24525,"Drama, Horror",103,film,R,severe,severe
"American Night",2021,5.2,785,"Action, Thriller",123,film,R,moderate,severe
"American Pie",1999,7,390360,"Comedy",95,film,R,severe,none
"American Pie 2",2001,6.4,247420,"Comedy",108,film,R,severe,mild
"American Psycho",2000,7.6,528312,"Comedy, Crime, Drama",101,film,R,severe,severe
"American Reunion",2012,6.7,208335,"Comedy",113,film,R,severe,mild
"American Rust",2021,7,1915,"Crime, Drama",0,series,TV-MA,severe,no rate
"American Sniper",2014,7.3,459138,"Action, Biography, Drama",133,film,R,mild,severe
"American Traitor: The Trial of Axis Sally",2021,5.6,1647,"Drama",109,film,R,mild,none
"American Underdog",2021,0,0,"Drama",0,film,unknown,no rate,no rate
"Ammonite",2020,6.5,13011,"Biography, Drama, History",120,film,R,severe,none
"Amores perros",2000,8.1,232561,"Drama, Thriller",154,film,R,moderate,severe
"Amphibia",2013,8.1,3342,"Animation, Action, Adventure",23,series,TV-Y7,none,mild
"An American Werewolf in London",1981,7.5,99655,"Comedy, Horror",97,film,R,moderate,severe
"An American Werewolf in Paris",1997,5.1,24293,"Comedy, Fantasy, Horror",105,film,R,moderate,severe
"An Officer and a Gentleman",1982,7,54095,"Drama, Romance",124,film,R,moderate,moderate
"An Unfinished Life",2005,7,30366,"Drama, Family, Romance",108,film,PG-13,mild,moderate
"Anaconda",1997,4.8,100818,"Action, Adventure, Horror",89,film,PG-13,mild,severe
"Anastasia",1997,7.2,117353,"Animation, Adventure, Drama",94,film,G,none,mild
"Anatomie",2000,6,12481,"Horror, Thriller",103,film,R,moderate,severe
"Anatomy of a Murder",1959,8,63564,"Drama, Mystery",161,film,unknown,none,mild
"Anchorman 2: The Legend Continues",2013,6.3,174601,"Comedy",119,film,PG-13,moderate,mild
"Anchorman: The Legend of Ron Burgundy",2004,7.2,340907,"Comedy",94,film,PG-13,moderate,mild
"Ancient Aliens",1998,7.2,10450,"Documentary, Fantasy, History",42,series,TV-PG,none,mild
"Andhadhun",2018,8.2,83444,"Crime, Drama, Music",139,film,unknown,mild,moderate
"Andromeda",2016,6.6,13063,"Action, Adventure, Drama",43,series,TV-PG,mild,mild
"Ang-ma-reul bo-at-da",2010,7.8,120357,"Action, Crime, Drama",144,film,unknown,severe,severe
"Angel",2014,7.9,67263,"Action, Drama, Fantasy",44,series,TV-14,mild,moderate
"Angel Has Fallen",2019,6.4,89225,"Action, Thriller",121,film,R,none,severe
"Angel Heart",1987,7.3,84448,"Horror, Mystery, Thriller",113,film,unknown,severe,severe
"Angela Black",1992,6,175,"Drama",0,series,unknown,no rate,no rate
"Angels & Demons",2009,6.7,283109,"Action, Mystery, Thriller",138,film,PG-13,none,severe
"Anger Management",2003,6.2,209252,"Comedy",106,film,PG-13,moderate,mild
"Animal Kingdom",2021,8.2,30515,"Crime, Drama",60,series,TV-MA,moderate,moderate
"Anna",2019,6.6,72386,"Action, Thriller",118,film,R,moderate,severe
"Anna Karenina",2012,6.6,96200,"Drama, Romance",129,film,R,moderate,moderate
"Annabelle",2014,5.4,150583,"Horror, Mystery, Thriller",99,film,R,none,moderate
"Annabelle Comes Home",2019,5.9,67797,"Horror, Mystery, Thriller",106,film,R,none,moderate
"Annabelle: Creation",2017,6.5,123707,"Horror, Mystery, Thriller",109,film,R,none,moderate
"Anne",2016,8.7,45599,"Drama, Family",60,series,TV-PG,mild,mild
"Annette",2021,6.4,9794,"Drama, Musical, Romance",141,film,R,severe,moderate
"Annie",1982,6.6,42452,"Comedy, Drama, Family",126,film,PG,mild,mild
"Annie Hall",1977,8,258522,"Comedy, Romance",93,film,PG,moderate,none
"Annihilation",2018,6.8,299235,"Adventure, Drama, Horror",115,film,R,mild,severe
"Annika",2010,6.6,777,"Crime, Drama, Mystery",0,series,unknown,no rate,no rate
"Anon",2018,6.1,41062,"Crime, Sci-Fi, Thriller",100,film,TV-MA,severe,moderate
"Another Life",2019,5,28031,"Adventure, Drama, Mystery",43,series,TV-MA,mild,moderate
"Ansatsu kyôshitsu",2004,8,11713,"Animation, Action, Comedy",23,series,TV-14,moderate,moderate
"Ant-Man",2015,7.3,609889,"Action, Adventure, Comedy",117,film,PG-13,none,mild
"Ant-Man and the Wasp",2018,7,347601,"Action, Adventure, Comedy",118,film,PG-13,none,mild
"Ant-Man and the Wasp: Quantumania",2023,0,0,"Action, Adventure, Comedy",0,film,unknown,no rate,no rate
"Antares",2004,6.1,2943,"Drama, Romance",105,film,unknown,moderate,none
"Antebellum",2020,5.7,23270,"Drama, Horror, Mystery",105,film,R,mild,moderate
"Antichrist",2009,6.6,121470,"Drama, Horror, Thriller",108,film,unknown,severe,severe
"Antlers",2021,7.1,87,"Drama, Horror, Mystery",99,film,R,no rate,no rate
"Any Given Sunday",1999,6.9,115726,"Drama, Sport",162,film,R,moderate,severe
"Apache Junction",2021,3.8,178,"Action, Adventure, Crime",94,film,R,no rate,no rate
"Apocalypse Now",1979,8.4,631489,"Drama, Mystery, War",147,film,R,moderate,severe
"Apocalypto",2006,7.8,300439,"Action, Adventure, Drama",139,film,R,moderate,severe
"Apollo 13",1995,7.6,281533,"Adventure, Drama, History",140,film,PG,mild,none
"Apostle",2018,6.3,48289,"Drama, Fantasy, Horror",130,film,TV-MA,mild,severe
"Aquaman",2018,6.9,417971,"Action, Adventure, Fantasy",143,film,PG-13,none,moderate
"Aquaman and the Lost Kingdom",2022,0,0,"Action, Adventure, Fantasy",0,film,unknown,no rate,no rate
"Arachnophobia",1990,6.4,66985,"Comedy, Horror, Thriller",109,film,PG-13,mild,moderate
"Arcane: League of Legends",2021,0,0,"Animation, Action, Adventure",0,series,unknown,no rate,no rate
"Archer",2020,8.6,144917,"Animation, Action, Comedy",22,series,TV-MA,moderate,severe
"Archive",2020,6.4,17234,"Drama, Mystery, Sci-Fi",109,film,TV-MA,none,mild
"Are You Afraid of the Dark?",2010,7.2,1884,"Adventure, Drama, Family",44,series,TV-PG,none,mild
"Argo",2012,7.7,591671,"Biography, Drama, Thriller",120,film,R,mild,moderate
